result,pnl,lot,entry,sl,tp1,tp2,direction,bar,time,engine,balance_before,balance_after
SL,-27.85,0.5,4829.60009765625,4835.17029957017,4824.02989574233,4819.573734211195,SHORT,923,2026-01-22 11:15:00+00:00,ICT/SMC,9927.800000000001,9899.95
SL,-44.16,0.5,4939.7998046875,4948.631260378838,4930.968348996162,4923.90318444309,SHORT,1025,2026-01-23 13:45:00+00:00,ICT/SMC,9899.95,9855.79
SL,-46.03,0.5,4947.2998046875,4956.505293687246,4938.094315687754,4930.729924487957,SHORT,1028,2026-01-23 14:30:00+00:00,ICT/SMC,9855.79,9809.76
SL,-50.21,0.5,4945.0,4955.042586695376,4934.957413304624,4926.923343948323,SHORT,1031,2026-01-23 15:15:00+00:00,ICT/SMC,9809.76,9759.55
TP2,74.47,0.5,4982.2998046875,4982.2998046875,4971.6609774200215,4963.149915606039,SHORT,1042,2026-01-23 18:00:00+00:00,ICT/SMC,9759.550000000001,9834.02
SL,-45.6,0.5,5081.5,5090.620998554507,5072.379001445493,5065.082202601886,SHORT,1181,2026-01-27 06:45:00+00:00,ICT/SMC,9834.02,9788.42
TP2,64.73,0.5,5089.39990234375,5089.39990234375,5080.152922754478,5072.75533908306,SHORT,1184,2026-01-27 07:30:00+00:00,ICT/SMC,9788.42,9853.15
SL,-39.33,0.5,5081.0,5073.133564419299,5088.866435580701,5095.159584045263,LONG,1196,2026-01-27 10:30:00+00:00,ICT/SMC,9853.15,9813.82
SL,-89.69,0.5,5559.2001953125,5577.138319863726,5541.262070761274,5526.911571120293,SHORT,1394,2026-01-29 14:00:00+00:00,ICT/SMC,9813.82,9724.13
SL,0.0,0.2,5383.39990234375,5383.39990234375,5333.592574165833,5293.746711623499,SHORT,1410,2026-01-29 18:00:00+00:00,ICT/SMC,9724.13,9724.13
TP2,136.68,0.28,5149.10009765625,5149.10009765625,5114.233262368838,5086.339794138908,SHORT,1479,2026-01-30 12:15:00+00:00,ICT/SMC,9724.13,9860.81
TP2,138.58,0.25,5109.5,5109.5,5069.906643374236,5038.231958073627,SHORT,1488,2026-01-30 14:30:00+00:00,ICT/SMC,9860.81,9999.39
SL,-99.26,0.46,4865.2998046875,4886.877626212939,4843.721983162061,4826.45972594171,SHORT,1533,2026-02-03 06:00:00+00:00,ICT/SMC,9999.39,9900.13
TP2,139.92,0.41,4943.2001953125,4943.2001953125,4967.577092541471,4987.078610324647,LONG,1589,2026-02-03 20:00:00+00:00,ICT/SMC,9900.13,10040.05
SL,0.0,0.39,4963.7998046875,4963.7998046875,4938.162649662608,4917.652925642693,SHORT,1679,2026-02-04 19:30:00+00:00,ICT/SMC,10040.05,10040.05
SL,-100.62,0.42,4963.89990234375,4987.856578715362,4939.943225972138,4920.777884874848,SHORT,1683,2026-02-04 20:30:00+00:00,ICT/SMC,10040.05,9939.43
SL,-99.29,0.41,4934.2998046875,4958.516337580263,4910.083271794737,4890.710045480526,SHORT,1724,2026-02-05 07:45:00+00:00,ICT/SMC,9939.429999999998,9840.14
TP2,139.15,0.46,4943.0,4943.0,4921.393192542173,4904.107746575912,SHORT,1727,2026-02-05 08:30:00+00:00,ICT/SMC,9840.139999999998,9979.29
TP2,140.02,0.33,4881.60009765625,4881.60009765625,4851.2924253475585,4827.046287500605,SHORT,1751,2026-02-05 14:30:00+00:00,ICT/SMC,9979.289999999997,10119.31
TP2,140.64,0.36,4898.0,4898.0,4870.095417029301,4847.771750652741,SHORT,1761,2026-02-05 17:00:00+00:00,ICT/SMC,10119.309999999998,10259.95
TP2,144.07,0.43,4891.5,4891.5,4867.567501611008,4848.421502899815,SHORT,1764,2026-02-05 17:45:00+00:00,ICT/SMC,10259.949999999997,10404.02
TP2,144.88,0.48,4893.7998046875,4893.7998046875,4872.239725730081,4854.991662564145,SHORT,1767,2026-02-05 18:30:00+00:00,ICT/SMC,10404.019999999997,10548.9
SL,0.0,0.44,4883.60009765625,4883.60009765625,4859.754839102762,4840.678632259971,SHORT,1809,2026-02-06 06:00:00+00:00,ICT/SMC,10548.899999999996,10548.9
SL,-105.0,0.44,4865.60009765625,4889.463183951453,4841.737011361047,4822.646542324885,SHORT,1812,2026-02-06 06:45:00+00:00,ICT/SMC,10548.899999999996,10443.9
SL,-96.81,0.5,4872.2001953125,4891.562356242451,4852.838034382549,4837.3483056385885,SHORT,1817,2026-02-06 08:00:00+00:00,ICT/SMC,10443.899999999996,10347.09
SL,-51.08,0.5,5054.39990234375,5064.615173990682,5044.184630696818,5036.012413379273,SHORT,2001,2026-02-10 08:00:00+00:00,ICT/SMC,10347.089999999997,10296.01
SL,0.0,0.5,5074.5,5074.5,5063.375142817584,5054.475257071651,SHORT,2006,2026-02-10 09:15:00+00:00,ICT/SMC,10296.009999999997,10296.01
SL,-50.12,0.5,5069.7998046875,5079.82317182661,5059.77643754839,5051.757743837103,SHORT,2010,2026-02-10 10:15:00+00:00,ICT/SMC,10296.009999999997,10245.89
TP2,68.32,0.5,5073.7001953125,5073.7001953125,5063.940300749771,5056.132385099589,SHORT,2013,2026-02-10 11:00:00+00:00,ICT/SMC,10245.889999999996,10314.21
SL,0.0,0.5,5052.89990234375,5052.89990234375,5043.3883662328935,5035.779137344209,SHORT,2052,2026-02-10 20:45:00+00:00,ICT/SMC,10314.209999999995,10314.21
TP2,59.81,0.5,5090.7998046875,5090.7998046875,5082.256053304993,5075.421052198986,SHORT,2177,2026-02-12 06:00:00+00:00,ICT/SMC,10314.209999999995,10374.02
TP2,56.06,0.5,5089.2998046875,5089.2998046875,5081.290554415467,5074.883154197842,SHORT,2185,2026-02-12 08:00:00+00:00,ICT/SMC,10374.019999999995,10430.08
SL,-41.46,0.5,5090.0,5098.291564436022,5081.708435563978,5075.075184015161,SHORT,2188,2026-02-12 08:45:00+00:00,ICT/SMC,10430.079999999994,10388.62
TP2,52.28,0.5,5095.0,5095.0,5087.531404180368,5081.556527524662,SHORT,2192,2026-02-12 09:45:00+00:00,ICT/SMC,10388.619999999995,10440.9
SL,0.0,0.5,5082.60009765625,5082.60009765625,5091.9457232336545,5099.422223695578,LONG,2210,2026-02-12 14:15:00+00:00,ICT/SMC,10440.899999999996,10440.9
TP2,83.16,0.5,5088.39990234375,5088.39990234375,5076.519750888621,5067.015629724518,SHORT,2214,2026-02-12 15:15:00+00:00,ICT/SMC,10440.899999999996,10524.06
SL,-82.95,0.5,5012.89990234375,5029.490333060448,4996.309471627052,4983.0371270536925,SHORT,2303,2026-02-13 14:30:00+00:00,ICT/SMC,10524.059999999996,10441.11
TP2,113.15,0.5,5032.2998046875,5032.2998046875,5016.134808232629,5003.202811068733,SHORT,2306,2026-02-13 15:15:00+00:00,ICT/SMC,10441.109999999995,10554.26
TP2,75.65,0.5,4947.5,4947.5,4936.692617729331,4928.046711912796,SHORT,2377,2026-02-17 10:15:00+00:00,ICT/SMC,10554.259999999995,10629.91
SL,-53.41,0.5,4945.0,4955.682185068238,4934.317814931762,4925.772066877172,SHORT,2380,2026-02-17 11:00:00+00:00,ICT/SMC,10629.909999999994,10576.5
TP2,63.63,0.5,4957.39990234375,4957.39990234375,4948.310611889656,4941.039179526381,SHORT,2386,2026-02-17 12:30:00+00:00,ICT/SMC,10576.499999999995,10640.13
TP2,96.73,0.5,4912.5,4912.5,4898.680821941816,4887.625479495269,SHORT,2412,2026-02-17 19:00:00+00:00,ICT/SMC,10640.129999999994,10736.86
SL,-40.88,0.5,5177.2001953125,5185.376549343473,5169.023841281527,5162.482758056749,SHORT,2760,2026-02-23 14:00:00+00:00,ICT/SMC,10736.859999999993,10695.98
SL,-64.11,0.5,5223.60009765625,5236.422843419767,5210.777351892733,5200.519155281921,SHORT,2768,2026-02-23 16:00:00+00:00,ICT/SMC,10695.979999999994,10631.87
SL,-33.8,0.5,5193.7001953125,5200.460362184837,5186.940028440163,5181.531894942293,SHORT,2836,2026-02-24 10:00:00+00:00,ICT/SMC,10631.869999999994,10598.07
TP2,46.51,0.5,5195.7998046875,5195.7998046875,5189.15573056009,5183.840471258161,SHORT,2840,2026-02-24 11:00:00+00:00,ICT/SMC,10598.069999999994,10644.58
SL,0.0,0.5,5167.7998046875,5167.7998046875,5153.354638509907,5141.798505567834,SHORT,2858,2026-02-24 15:30:00+00:00,ICT/SMC,10644.579999999994,10644.58
SL,0.0,0.5,5176.60009765625,5176.60009765625,5167.465330511535,5160.1575167957635,SHORT,2869,2026-02-24 18:15:00+00:00,ICT/SMC,10644.579999999994,10644.58
SL,0.0,0.5,5174.39990234375,5174.39990234375,5165.827223838655,5158.969081034579,SHORT,2872,2026-02-24 19:00:00+00:00,ICT/SMC,10644.579999999994,10644.58
TP2,62.9,0.5,5186.5,5186.5,5177.513630340045,5170.32453461208,SHORT,2877,2026-02-24 20:15:00+00:00,ICT/SMC,10644.579999999994,10707.48
TP2,46.35,0.5,5203.7001953125,5203.7001953125,5197.0788238608875,5191.781726699598,SHORT,2943,2026-02-25 13:45:00+00:00,ICT/SMC,10707.479999999994,10753.83
SL,-57.9,0.5,5210.39990234375,5221.979000889126,5198.820803798374,5189.557524962074,SHORT,2950,2026-02-25 15:30:00+00:00,ICT/SMC,10753.829999999994,10695.93
TP2,56.03,0.5,5226.5,5226.5,5218.495181071064,5212.091325927915,SHORT,2959,2026-02-25 17:45:00+00:00,ICT/SMC,10695.929999999995,10751.96
TP2,40.71,0.5,5213.2001953125,5213.2001953125,5207.384298387081,5202.731580846745,SHORT,3000,2026-02-26 06:30:00+00:00,ICT/SMC,10751.959999999995,10792.67
SL,-76.06,0.5,5192.2998046875,5207.510839796971,5177.088769578029,5164.919941490453,SHORT,3036,2026-02-26 15:30:00+00:00,ICT/SMC,10792.669999999995,10716.61
SL,0.0,0.5,5197.60009765625,5197.60009765625,5183.639694425747,5172.471371841344,SHORT,3039,2026-02-26 16:15:00+00:00,ICT/SMC,10716.609999999995,10716.61
TP2,67.15,0.5,5194.10009765625,5194.10009765625,5184.507875831228,5176.8340983712105,SHORT,3047,2026-02-26 18:15:00+00:00,ICT/SMC,10716.609999999995,10783.76
SL,-41.57,0.5,5204.2001953125,5212.514992480249,5195.885398144751,5189.233560410551,SHORT,3053,2026-02-26 19:45:00+00:00,ICT/SMC,10783.759999999995,10742.19
SL,-23.98,0.5,5204.2998046875,5209.095777894462,5199.503831480538,5195.667052914968,SHORT,3117,2026-02-27 12:45:00+00:00,ICT/SMC,10742.189999999995,10718.21
SL,-68.67,0.5,5344.2001953125,5357.934985291255,5330.465405333745,5319.477573350741,SHORT,3237,2026-03-02 19:45:00+00:00,ICT/SMC,10718.209999999995,10649.54
SL,0.0,0.5,5356.10009765625,5356.10009765625,5342.594744197304,5331.790461430147,SHORT,3240,2026-03-02 20:30:00+00:00,ICT/SMC,10649.539999999995,10649.54
SL,-70.77,0.5,5333.89990234375,5319.746074824304,5348.053729863196,5359.3767918787535,LONG,3282,2026-03-03 08:00:00+00:00,ICT/SMC,10649.539999999995,10578.77
SL,-105.13,0.43,5113.89990234375,5138.3479316025805,5089.4518730849195,5069.893449677855,SHORT,3322,2026-03-03 18:00:00+00:00,ICT/SMC,10578.769999999995,10473.64
SL,0.0,0.49,5129.10009765625,5129.10009765625,5107.556578234922,5090.32176269786,SHORT,3328,2026-03-03 19:30:00+00:00,ICT/SMC,10473.639999999996,10473.64
SL,0.0,0.5,5148.7001953125,5148.7001953125,5136.9998345204585,5127.6395458868255,SHORT,3421,2026-03-04 19:45:00+00:00,ICT/SMC,10473.639999999996,10473.64
SL,-63.25,0.5,5088.2001953125,5100.849255473256,5075.551135151744,5065.43188702314,SHORT,3514,2026-03-05 20:00:00+00:00,ICT/SMC,10473.639999999996,10410.39
SL,0.0,0.5,5112.2001953125,5112.2001953125,5093.93057810845,5079.314884345211,SHORT,3583,2026-03-06 14:15:00+00:00,ICT/SMC,10410.389999999996,10410.39
SL,-104.37,0.5,5151.2001953125,5172.074458182999,5130.325932442001,5113.626522145603,SHORT,3589,2026-03-06 15:45:00+00:00,ICT/SMC,10410.389999999996,10306.02
SL,-92.4,0.5,5151.7001953125,5170.179613798155,5133.220776826845,5118.4372420383215,SHORT,3592,2026-03-06 16:30:00+00:00,ICT/SMC,10306.019999999995,10213.62
TP2,48.54,0.5,5217.0,5217.0,5210.065466553669,5204.517839796604,SHORT,3830,2026-03-11 06:00:00+00:00,ICT/SMC,10213.619999999995,10262.16
TP2,52.62,0.5,5201.2001953125,5201.2001953125,5193.683693945621,5187.670492852118,SHORT,3846,2026-03-11 10:00:00+00:00,ICT/SMC,10262.159999999996,10314.78
TP2,64.39,0.5,5199.2998046875,5199.2998046875,5190.10165510378,5182.743135436805,SHORT,3854,2026-03-11 12:00:00+00:00,ICT/SMC,10314.779999999997,10379.17
SL,0.0,0.5,5197.0,5197.0,5184.221327345542,5173.998389221976,SHORT,3862,2026-03-11 14:00:00+00:00,ICT/SMC,10379.169999999996,10379.17
SL,0.0,0.5,5185.39990234375,5185.39990234375,5176.963708236701,5170.214752951062,SHORT,3879,2026-03-11 18:15:00+00:00,ICT/SMC,10379.169999999996,10379.17
SL,-33.1,0.5,5184.7001953125,5191.320000053646,5178.080390571354,5172.784546778436,SHORT,3883,2026-03-11 19:15:00+00:00,ICT/SMC,10379.169999999996,10346.07
TP2,42.05,0.5,5186.10009765625,5186.10009765625,5180.09340024574,5175.288042317331,SHORT,3886,2026-03-11 20:00:00+00:00,ICT/SMC,10346.069999999996,10388.12
SL,-33.83,0.5,5183.89990234375,5190.666108183746,5177.133696503754,5171.720731831758,SHORT,3931,2026-03-12 08:15:00+00:00,ICT/SMC,10388.119999999995,10354.29
SL,-30.44,0.5,5182.2001953125,5188.287346062588,5176.113044562412,5171.2433239623415,SHORT,3934,2026-03-12 09:00:00+00:00,ICT/SMC,10354.289999999995,10323.85
SL,0.0,0.5,5186.2001953125,5186.2001953125,5180.396722046999,5175.753943434597,SHORT,3939,2026-03-12 10:15:00+00:00,ICT/SMC,10323.849999999995,10323.85
SL,0.0,0.5,5089.89990234375,5089.89990234375,5099.212350074745,5106.662308259541,LONG,4028,2026-03-13 09:30:00+00:00,ICT/SMC,10323.849999999995,10323.85
SL,-42.39,0.5,5100.60009765625,5109.0786916022125,5092.1215037102875,5085.338628553517,SHORT,4035,2026-03-13 11:15:00+00:00,ICT/SMC,10323.849999999995,10281.46
TP2,60.04,0.5,5118.7001953125,5118.7001953125,5110.123628980356,5103.262375914641,SHORT,4042,2026-03-13 13:00:00+00:00,ICT/SMC,10281.459999999995,10341.5
TP2,54.81,0.5,5026.60009765625,5026.60009765625,5018.770305036671,5012.506470941007,SHORT,4108,2026-03-16 06:30:00+00:00,ICT/SMC,10341.499999999996,10396.31
SL,-57.98,0.5,5027.2998046875,5038.894900795433,5015.704708579567,5006.42863169322,SHORT,4132,2026-03-16 12:30:00+00:00,ICT/SMC,10396.309999999996,10338.33
SL,-53.45,0.5,5027.0,5037.689976900723,5016.310023099277,5007.758041578699,SHORT,4135,2026-03-16 13:15:00+00:00,ICT/SMC,10338.329999999996,10284.88
SL,-40.52,0.5,5016.2998046875,5024.403592023916,5008.196017351084,5001.712987481952,SHORT,4160,2026-03-16 19:30:00+00:00,ICT/SMC,10284.879999999996,10244.36
SL,0.0,0.5,5023.7001953125,5023.7001953125,5013.886520262431,5006.035580222376,SHORT,4230,2026-03-17 14:00:00+00:00,ICT/SMC,10244.359999999995,10244.36
SL,0.0,0.5,5011.0,5011.0,5003.222355824393,4997.000240483908,SHORT,4246,2026-03-17 18:00:00+00:00,ICT/SMC,10244.359999999995,10244.36
TP2,39.54,0.5,5013.2998046875,5013.2998046875,5007.651273844842,5003.1324491707155,SHORT,4295,2026-03-18 07:15:00+00:00,ICT/SMC,10244.359999999995,10283.9
SL,0.0,0.5,4891.7998046875,4891.7998046875,4881.178573871123,4872.681589218023,SHORT,4338,2026-03-18 18:00:00+00:00,ICT/SMC,10283.899999999996,10283.9
SL,-31.64,0.5,4459.0,4465.3279613703735,4452.6720386296265,4447.609669533328,SHORT,75,2026-01-08 00:45:00+00:00,EMA,10000.0,9968.36
SL,-48.24,0.5,4441.89990234375,4432.250944704014,4451.548859983486,4459.268026095276,LONG,126,2026-01-08 13:30:00+00:00,EMA,9968.36,9920.12
TP2,77.07,0.5,4441.39990234375,4441.39990234375,4452.409265435004,4461.216755908007,LONG,131,2026-01-08 14:45:00+00:00,EMA,9920.12,9997.19
SL,-36.12,0.5,4481.5,4474.275582362061,4488.724417637939,4494.503951748289,LONG,173,2026-01-09 02:15:00+00:00,EMA,9997.19,9961.07
SL,-31.8,0.5,4472.7998046875,4479.159842643782,4466.439766731218,4461.351736366192,SHORT,179,2026-01-09 03:45:00+00:00,EMA,9961.07,9929.27
SL,-30.45,0.5,4474.0,4480.089374959302,4467.910625040698,4463.039125073256,SHORT,214,2026-01-09 12:30:00+00:00,EMA,9929.27,9898.82
